ID,SamplingDate,Chemetrics_Acidified_Date,Site,Source,Temp,SPCOND,pH,ORP,AlkalinityS,AlkalinityW,NH3_f,H2S_f,NO3_f,Fetot,O2,Mn_f,SO4_f,As_f,TotalNField,DOC,TDN,Cl,Fl,NO2,NO3,SO4,Li,Na_IC,K_IC,Mg_IC,Ca_IC,Mo,Cd,Sb,Pb,U,Al,Si,P,S,Ca,Cr,Mn,Fe,Co,Ni,Cu,Ti,Zn,B,Sr,Sr2,Ba,K,As,Na,Mg,O18,D,,,,,,
DS01,7/6/2018 17:17,7/6/2018 17:17,Downstream,Stream,22.2,112.7,7.4,268,,45.8,0.18,0.02,0.06,BDL,8.35,,,,0.24,0.92,0.1,1.9525,0.012,1.9422,0.1257,0.7902,,7.2396,3.1357,2.0506,10.4645,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.88,-22.9,,,,,,
DS02,7/6/2018 19:39,7/7/2018 9:50,Downstream,Stream,,,,,,44.2,BDL,0.015,0.05,BDL,,,,,,1.44,0.11,2.108,0.008,2.161,0.304,1.093,0.002,8.764,2.609,1.946,9.761,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.28,-26.4,,,,,,
DS03,7/6/2018 21:45,7/7/2018 11:23,Downstream,Stream,,,,,,56.6,0.133,0.359,0.088,BDL,,,,,,1.01,0.12,2.040,0.027,2.056,0.262,0.876,,7.047,2.568,1.978,9.863,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.81,-24.6,,,,,,
DS09,7/7/2018 10:20,7/7/2018 10:30,Downstream,Stream,22.1,106.4,7.6,199.3,,42,BDL,0.01,0.07,BDL,,,,,,2.53,0.11,2.25,0.0057,2.0738,0.2422,1.0014,0.0016,8.2907,2.487,1.8826,9.4699,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.52,-25.2,,,,,,
DS10,7/7/2018 11:30,7/7/2018 11:57,Downstream,Stream,,,,,,44.2,0.097,0.06,0.077,BDL,,,,,,2.5,0.09,2.050,0.005,2.061,0.245,0.906,,6.608,3.135,1.978,9.891,,,,,,270.07,57.82,24.25,970.30,16.11,0.86,1.78,16.64,0.02,0.15,3.39,3.83,59.65,12361.53,207.63,,,5.39,0.56,17.78,5.75,-4.96,-24.8,,,,,,
DS11,7/7/2018 13:30,7/7/2018 13:50,Downstream,Stream,22,91.5,7.5,210.9,,33.2,0.64,0.16,0.1,0.4,,,,,0.74,12.01,0.26,2.62,0.0182,1.6556,0.2551,1.4052,0.004,13.4456,1.4573,1.2997,6.9702,,,,,,853.77,49.33,18.05,1324.32,12.75,2.72,10.36,259.38,0.13,0.46,4.04,9.74,225.48,30304.03,157.29,,,4.54,0.49,24.01,4.11,-3.55,-23.3,,,,,,
DS12,7/7/2018 15:53,7/7/2018 15:53,Downstream,Stream,21.9,107,7.5,234.6,,43.4,BDL,0.02,0.06,BDL,,,,,,1.2,0.11,2.2138,0.0037,2.1027,0.2755,1.1921,0.0051,8.6418,2.987,1.9497,9.7109,,,,,,398.87,56.97,23.08,1039.84,15.59,0.97,1.76,28.44,0.04,0.17,2.16,5.63,42.49,17424.75,198.91,,,4.97,0.57,17.42,5.4,-4.4,-23.9,,,,,,
DS13,7/7/2018 17:35,7/7/2018 18:00,Downstream,Stream,22,110.9,7.5,268,,46.8,0.07,0.05,0.07,BDL,,,,,0.14,0.79,0.11,2.1255,0.0263,2.1372,0.2716,1.129,,5.7216,2.658,1.9183,9.7978,0.18,1.66,4.2,0.05,0,18.41,51.44,23.25,801.71,15.86,0.04,1.26,16.02,0.03,0.1,0.74,0.3,36.1,152.13,199.8,,,5.13,0.6,10.99,5.46,-4.52,-24.1,,,,,,
DS14,7/7/2018 19:40,7/7/2018 20:00,Downstream,Stream,22,111.7,7.6,276.7,,48,0.01,0.03,0.05,BDL,,,,,0.06,0.7,0.09,1.9951,0.0025,2.0426,0.2003,0.852,0.0014,5.7374,2.863,1.9377,9.8847,0.01,3.11,1.66,0.02,-0.02,5.4,23.54,10.69,337.65,7.11,0.01,0.44,2.83,0.01,0.02,0.23,0.08,4.93,13.23,89.16,,,2.27,0.27,4.45,2.55,-4.62,-23.5,,,,,,
DS15,7/7/2018 21:35,7/7/2018 22:30,Downstream,Stream,22,112.3,7.6,284.7,,47.2,0.11,0.02,0.05,BDL,,,,,0.16,0.42,0.09,1.9781,0.0187,1.9626,0.1995,0.9456,0.0033,9.2446,2.9791,2.0636,10.2491,,,,,,1.36,27.23,10.92,402.77,6.82,0.29,0.22,1.68,0,0.04,0.55,0.32,23.97,4676.31,86.73,,,2.21,0.28,6.94,2.48,-4.56,-23.6,,,,,,
