Date,Rain,Rain,DownstreamQ
7/6/18 17:25,0,0,0.001
7/6/18 17:30,0,0,0.001
7/6/18 17:35,0,0,0.001
7/6/18 17:40,0,0,0.0009
7/6/18 17:45,0,0,0.0009
7/6/18 17:50,0,0,0.001
7/6/18 17:55,0,0,0.0011
7/6/18 18:00,0,0,0.0011
7/6/18 18:05,0,0,0.001
7/6/18 18:10,0,0,0.0011
7/6/18 18:15,0,0,0.0011
7/6/18 18:20,0,0,0.0011
7/6/18 18:25,0,0,0.001
7/6/18 18:30,0,0,0.0011
7/6/18 18:35,0,0,0.0013
7/6/18 18:40,0,0,0.001
7/6/18 18:45,0,0,0.0011
7/6/18 18:50,0,0,0.0014
7/6/18 18:55,0,0,0.0011
7/6/18 19:00,0,0,0.001
7/6/18 19:05,0,0,0.0011
7/6/18 19:10,0,0,0.0011
7/6/18 19:15,0,0,0.0011
7/6/18 19:20,0,0,0.0011
7/6/18 19:25,0,0,0.0014
7/6/18 19:30,0,0,0.0011
7/6/18 19:35,0,0,0.0014
7/6/18 19:40,0,0,0.0014
7/6/18 19:45,0,0,0.0013
7/6/18 19:50,0,0,0.001
7/6/18 19:55,0,0,0.001
7/6/18 20:00,0,0,0.0011
7/6/18 20:05,0,0,0.0011
7/6/18 20:10,0,0,0.0014
7/6/18 20:15,0,0,0.0013
7/6/18 20:20,0,0,0.001
7/6/18 20:25,0,0,0.0011
7/6/18 20:30,0,0,0.0014
7/6/18 20:35,0,0,0.0011
7/6/18 20:40,0,0,0.0011
7/6/18 20:45,0,0,0.0011
7/6/18 20:50,0,0,0.001
7/6/18 20:55,0,0,0.001
7/6/18 21:00,0,0,0.001
7/6/18 21:05,0,0,0.001
7/6/18 21:10,0,0,0.0011
7/6/18 21:15,0,0,0.001
7/6/18 21:20,0,0,0.001
7/6/18 21:25,0,0,0.001
7/6/18 21:30,0,0,0.001
7/6/18 21:35,0,0,0.001
7/6/18 21:40,0,0,0.0011
7/6/18 21:45,0,0,0.0011
7/6/18 21:50,0,0,0.0012
7/6/18 21:55,0,0,0.001
7/6/18 22:00,0,0,0.0013
7/6/18 22:05,0,0,0.0013
7/6/18 22:10,0,0,0.001
7/6/18 22:15,0,0,0.001
7/6/18 22:20,0,0,0.001
7/6/18 22:25,0,0,0.0011
7/6/18 22:30,0,0,0.0012
7/6/18 22:35,0,0,0.0011
7/6/18 22:40,0,0,0.0011
7/6/18 22:45,0,0,0.001
7/6/18 22:50,0,0,0.0011
7/6/18 22:55,0,0,0.001
7/6/18 23:00,0,0,0.0011
7/6/18 23:05,0,0,0.0011
7/6/18 23:10,0,0,0.001
7/6/18 23:15,0,0,0.0013
7/6/18 23:20,0,0,0.0014
7/6/18 23:25,0,0,0.0011
7/6/18 23:30,0,0,0.001
7/6/18 23:35,0,0,0.001
7/6/18 23:40,0,0,0.0011
7/6/18 23:45,0,0,0.0011
7/6/18 23:50,0,0,0.0011
7/6/18 23:55,0,0,0.001
7/7/18 0:00,0,0,0.0011
7/7/18 0:05,0,0,0.0011
7/7/18 0:10,0,0,0.0011
7/7/18 0:15,0,0,0.0011
7/7/18 0:20,0,0,0.0011
7/7/18 0:25,0,0,0.0012
7/7/18 0:30,0,0,0.0012
7/7/18 0:35,0,0,0.001
7/7/18 0:40,0,0,0.0011
7/7/18 0:45,0,0,0.0011
7/7/18 0:50,0,0,0.0011
7/7/18 0:55,0,0,0.0011
7/7/18 1:00,0,0,0.0011
7/7/18 1:05,0,0,0.0011
7/7/18 1:10,0,0,0.0011
7/7/18 1:15,0,0,0.001
7/7/18 1:20,0,0,0.0011
7/7/18 1:25,0,0,0.0011
7/7/18 1:30,0,0,0.0012
7/7/18 1:35,0,0,0.0012
7/7/18 1:40,0,0,0.0012
7/7/18 1:45,0,0,0.0012
7/7/18 1:50,0,0,0.0012
7/7/18 1:55,0,0,0.0013
7/7/18 2:00,0,0,0.0011
7/7/18 2:05,0,0,0.0011
7/7/18 2:10,0,0,0.0011
7/7/18 2:15,0,0,0.0011
7/7/18 2:20,0,0,0.0011
7/7/18 2:25,0,0,0.0011
7/7/18 2:30,0,0,0.0013
7/7/18 2:35,0,0,0.0011
7/7/18 2:40,0,0,0.0011
7/7/18 2:45,0,0,0.0014
7/7/18 2:50,0,0,0.0011
7/7/18 2:55,0,0,0.0013
7/7/18 3:00,0,0,0.001
7/7/18 3:05,0,0,0.0011
7/7/18 3:10,0,0,0.0013
7/7/18 3:15,0,0,0.0011
7/7/18 3:20,0,0,0.0011
7/7/18 3:25,0,0,0.0011
7/7/18 3:30,0,0,0.001
7/7/18 3:35,0,0,0.001
7/7/18 3:40,0,0,0.0011
7/7/18 3:45,0,0,0.0011
7/7/18 3:50,0,0,0.0011
7/7/18 3:55,0,0,0.0012
7/7/18 4:00,0,0,0.0011
7/7/18 4:05,0,0,0.0013
7/7/18 4:10,0,0,0.0011
7/7/18 4:15,0,0,0.001
7/7/18 4:20,0,0,0.001
7/7/18 4:25,0,0,0.0011
7/7/18 4:30,0,0,0.001
7/7/18 4:35,0,0,0.0012
7/7/18 4:40,0,0,0.001
7/7/18 4:45,0,0,0.001
7/7/18 4:50,0,0,0.001
7/7/18 4:55,0,0,0.001
7/7/18 5:00,0,0,0.001
7/7/18 5:05,0,0,0.0012
7/7/18 5:10,0,0,0.0011
7/7/18 5:15,0,0,0.0011
7/7/18 5:20,0,0,0.001
7/7/18 5:25,0,0,0.0012
7/7/18 5:30,0,0,0.001
7/7/18 5:35,0,0,0.001
7/7/18 5:40,0,0,0.0011
7/7/18 5:45,0,0,0.0011
7/7/18 5:50,0,0,0.001
7/7/18 5:55,0,0,0.0011
7/7/18 6:00,0,0,0.0011
7/7/18 6:05,0,0,0.001
7/7/18 6:10,0,0,0.001
7/7/18 6:15,0,0,0.001
7/7/18 6:20,0,0,0.001
7/7/18 6:25,0,0,0.001
7/7/18 6:30,0,0,0.001
7/7/18 6:35,0,0,0.001
7/7/18 6:40,0,0,0.001
7/7/18 6:45,0,0,0.001
7/7/18 6:50,0,0,0.0011
7/7/18 6:55,0,0,0.0011
7/7/18 7:00,0,0,0.001
7/7/18 7:05,0,0,0.001
7/7/18 7:10,0,0,0.001
7/7/18 7:15,0,0,0.001
7/7/18 7:20,0,0,0.001
7/7/18 7:25,0,0,0.0009
7/7/18 7:30,0,0,0.0011
7/7/18 7:35,0,0,0.001
7/7/18 7:40,0,0,0.0009
7/7/18 7:45,0,0,0.001
7/7/18 7:50,0,0,0.001
7/7/18 7:55,0,0,0.001
7/7/18 8:00,0,0,0.0011
7/7/18 8:05,0,0,0.001
7/7/18 8:10,0,0,0.001
7/7/18 8:15,0,0,0.001
7/7/18 8:20,0,0,0.0011
7/7/18 8:25,0,0,0.0009
7/7/18 8:30,0,0,0.001
7/7/18 8:35,0,0,0.0011
7/7/18 8:40,0.254,6.4516,0.0011
7/7/18 8:45,0.508,12.9032,0.0013
7/7/18 8:50,0,0,0.0011
7/7/18 8:55,0,0,0.0011
7/7/18 9:00,0,0,0.0011
7/7/18 9:05,0,0,0.001
7/7/18 9:10,0,0,0.001
7/7/18 9:15,0,0,0.0011
7/7/18 9:20,0,0,0.0011
7/7/18 9:25,0.254,6.4516,0.001
7/7/18 9:30,0,0,0.0011
7/7/18 9:35,0.254,6.4516,0.0011
7/7/18 9:40,0,0,0.0011
7/7/18 9:45,0,0,0.001
7/7/18 9:50,0,0,0.0011
7/7/18 9:55,0,0,0.0011
7/7/18 10:00,0,0,0.001
7/7/18 10:05,0,0,0.0011
7/7/18 10:10,0,0,0.0011
7/7/18 10:15,0,0,0.001
7/7/18 10:20,0,0,0.0011
7/7/18 10:25,1.016,25.8064,0.0012
7/7/18 10:30,0.508,12.9032,0.0013
7/7/18 10:35,1.016,25.8064,0.0015
7/7/18 10:40,0,0,0.0015
7/7/18 10:45,0.254,6.4516,0.0013
7/7/18 10:50,0,0,0.0013
7/7/18 10:55,0,0,0.0013
