Date,SC
7/6/2018 18:04,116.8
7/6/2018 18:14,116.8
7/6/2018 18:24,116.9
7/6/2018 18:34,116.8
7/6/2018 18:44,116.7
7/6/2018 18:54,116.8
7/6/2018 19:04,116.9
7/6/2018 19:14,117
7/6/2018 19:24,116.9
7/6/2018 19:34,116.9
7/6/2018 19:44,117
7/6/2018 19:54,117.1
7/6/2018 20:04,117.1
7/6/2018 20:14,
7/6/2018 20:24,116.7
7/6/2018 20:34,116.7
7/6/2018 20:44,116.9
7/6/2018 20:54,116.8
7/6/2018 21:04,116.8
7/6/2018 21:14,116.5
7/6/2018 21:24,116.3
7/6/2018 21:34,116.3
7/6/2018 21:44,116.3
7/6/2018 21:54,116.2
7/6/2018 22:04,116.3
7/6/2018 22:14,116.3
7/6/2018 22:24,116.3
7/6/2018 22:34,116.4
7/6/2018 22:44,116.2
7/6/2018 22:54,116.3
7/6/2018 23:04,116.3
7/6/2018 23:14,116.4
7/6/2018 23:24,116.4
7/6/2018 23:34,116.5
7/6/2018 23:44,116.3
7/6/2018 23:54,116.5
7/7/2018 0:04,116.4
7/7/2018 0:14,116.4
7/7/2018 0:24,116.5
7/7/2018 0:34,116.5
7/7/2018 0:44,116.3
7/7/2018 0:54,116.4
7/7/2018 1:04,116.4
7/7/2018 1:14,116.5
7/7/2018 1:24,116.4
7/7/2018 1:34,116.6
7/7/2018 1:44,116.6
7/7/2018 1:54,116.6
7/7/2018 2:04,116.7
7/7/2018 2:14,116.4
7/7/2018 2:24,116.5
7/7/2018 2:34,116.5
7/7/2018 2:44,116.6
7/7/2018 2:54,116.4
7/7/2018 3:04,116.3
7/7/2018 3:14,116.3
7/7/2018 3:24,116.6
7/7/2018 3:34,116.6
7/7/2018 3:44,116.7
7/7/2018 3:54,116.5
7/7/2018 4:04,116.7
7/7/2018 4:14,116.6
7/7/2018 4:24,116.6
7/7/2018 4:34,116.7
7/7/2018 4:44,117
7/7/2018 4:54,116.8
7/7/2018 5:04,116.9
7/7/2018 5:14,116.7
7/7/2018 5:24,116.9
7/7/2018 5:34,116.8
7/7/2018 5:44,116.6
7/7/2018 5:54,116.9
7/7/2018 6:04,116.8
7/7/2018 6:14,116.9
7/7/2018 6:24,116.8
7/7/2018 6:34,116.8
7/7/2018 6:44,116.7
7/7/2018 6:54,116.8
7/7/2018 7:04,116.8
7/7/2018 7:14,116.7
7/7/2018 7:24,116.9
7/7/2018 7:34,116.8
7/7/2018 7:44,116.8
7/7/2018 7:54,116.9
7/7/2018 8:04,116.9
7/7/2018 8:14,116.7
7/7/2018 8:24,116.8
7/7/2018 8:34,116.3
7/7/2018 8:44,116.3
7/7/2018 8:54,116.5
7/7/2018 9:04,116.5
7/7/2018 9:14,116.5
7/7/2018 9:24,116.3
7/7/2018 9:34,116.4
7/7/2018 9:44,116.4
7/7/2018 9:54,116.5
7/7/2018 10:04,114.7
7/7/2018 10:14,116
7/7/2018 10:24,114.5
7/7/2018 10:34,113.9
7/7/2018 10:44,115
7/7/2018 10:54,115.1
7/7/2018 11:04,115.6
7/7/2018 11:14,115.7
7/7/2018 11:24,116.1
7/7/2018 11:34,116.4
7/7/2018 11:44,116.4
7/7/2018 11:54,116.4
7/7/2018 12:04,116.3
7/7/2018 12:14,116.4
7/7/2018 12:24,116.5
7/7/2018 12:34,116.4
7/7/2018 12:44,116.7
7/7/2018 12:54,116.5
7/7/2018 13:04,116.6
7/7/2018 13:14,115.2
7/7/2018 13:24,101.6
7/7/2018 13:34,106.3
7/7/2018 13:44,107.4
7/7/2018 13:54,109.9
7/7/2018 14:04,111.7
7/7/2018 14:14,113
7/7/2018 14:24,113.6
7/7/2018 14:34,113.7
7/7/2018 14:44,111.8
7/7/2018 14:54,112.1
7/7/2018 15:04,113.4
7/7/2018 15:14,113.6
7/7/2018 15:24,114.1
7/7/2018 15:34,114.4
7/7/2018 15:44,114.6
7/7/2018 15:54,115.1
7/7/2018 16:04,115.1
7/7/2018 16:20,0
7/7/2018 16:30,114.5
7/7/2018 16:40,114.6
7/7/2018 16:50,114.7
7/7/2018 17:00,115.1
7/7/2018 17:10,114.8
7/7/2018 17:20,115
7/7/2018 17:30,115.3
7/7/2018 17:40,115.4
7/7/2018 17:50,115.1
7/7/2018 18:00,115.3
7/7/2018 18:10,115.3
7/7/2018 18:20,115.5
7/7/2018 18:30,115.5
7/7/2018 18:40,115.5
7/7/2018 18:50,115.8
7/7/2018 19:00,115.8
7/7/2018 19:10,115.9
7/7/2018 19:20,115.8
7/7/2018 19:30,115.8
7/7/2018 19:40,116
7/7/2018 19:50,116.3
7/7/2018 20:00,116.2
7/7/2018 20:10,116.3
7/7/2018 20:20,116.6
7/7/2018 20:30,116.6
7/7/2018 20:40,116.5
7/7/2018 20:50,116.4
7/7/2018 21:00,116.4
7/7/2018 21:10,116.5
7/7/2018 21:20,116.3
7/7/2018 21:30,116.5
7/7/2018 21:40,116.3
7/7/2018 21:50,116.2
7/7/2018 22:00,116.4
7/7/2018 22:10,116.4
7/7/2018 22:20,116.5
7/7/2018 22:30,116.3
7/7/2018 22:40,116.4
7/7/2018 22:50,116.3
7/7/2018 23:00,116.4
7/7/2018 23:10,116.4
7/7/2018 23:20,116.4
7/7/2018 23:30,116.5
7/7/2018 23:40,116.4
7/7/2018 23:50,116.2
7/8/2018 0:00,116.4
7/8/2018 0:10,116.4
7/8/2018 0:20,116.4
7/8/2018 0:30,116.3
7/8/2018 0:40,116.5
7/8/2018 0:50,116.5
7/8/2018 1:00,116.3
7/8/2018 1:10,116.5
7/8/2018 1:20,116.4
7/8/2018 1:30,116.5
7/8/2018 1:40,116.4
7/8/2018 1:50,116.7
7/8/2018 2:00,116.3
7/8/2018 2:10,116.5
7/8/2018 2:20,116.4
7/8/2018 2:30,116.6
7/8/2018 2:40,116.6
7/8/2018 2:50,116.8
7/8/2018 3:00,116.7
7/8/2018 3:10,116.7
7/8/2018 3:20,115.7
7/8/2018 3:30,115.9
7/8/2018 3:40,116.3
7/8/2018 3:50,116.7
7/8/2018 4:00,116.4
7/8/2018 4:10,116.5
7/8/2018 4:20,116.5
7/8/2018 4:30,116.5
7/8/2018 4:40,116.5
7/8/2018 4:50,116.5
7/8/2018 5:00,116.8
7/8/2018 5:10,116.7
7/8/2018 5:20,116.5
7/8/2018 5:30,116.5
7/8/2018 5:40,116.7
7/8/2018 5:50,116.6
7/8/2018 6:00,116.7
7/8/2018 6:10,116.8
7/8/2018 6:20,116.8
7/8/2018 6:30,117
7/8/2018 6:40,117
7/8/2018 6:50,116.5
7/8/2018 7:00,115.7
7/8/2018 7:10,114.8
7/8/2018 7:20,115.9
7/8/2018 7:30,116.2
7/8/2018 7:40,116.2
7/8/2018 7:50,116.3
7/8/2018 8:00,116.8
7/8/2018 8:10,117
7/8/2018 8:20,117.2
7/8/2018 8:30,117.3
7/8/2018 8:40,117.3
7/8/2018 8:50,117.7
7/8/2018 9:00,117.5
7/8/2018 9:10,117.4
7/8/2018 9:20,117.7
7/8/2018 9:30,117.6
7/8/2018 9:40,117.7
7/8/2018 9:50,117.7
7/8/2018 10:00,117.7
7/8/2018 10:10,117.6
7/8/2018 10:20,117.5
7/8/2018 10:30,117.8
7/8/2018 10:40,117.6
7/8/2018 10:50,118
7/8/2018 11:00,118
7/8/2018 11:10,117.8
7/8/2018 11:20,118
7/8/2018 11:30,117.8
7/8/2018 11:40,116
7/8/2018 11:50,116
7/8/2018 12:00,116.1
