DS_label,DownQ,Ratio
DS1,0.003010143,0.489333165
DS2,0.002573509,0.495161587
DS3,0.003142494,0.477526926
DS9,0.002817985,0.485203399
DS11,0.005095655,0.493025136
DS12,0.002817985,0.429581421
DS13,0.003564213,0.362749415
DS14,0.003075891,0.357602074
DS15,0.002755616,0.337544128
DS16,0.00251446,0.436904146
DS17,0.003010143,0.388920393
DS18,0.003488449,0.262093412
DS19,0.002817985,0.396183088
DS20,0.004034967,0.388883121
DS21,0.002881193,0.406326824
DS22,0.002881193,0.445683784
DS23,0.002890603,0.403744617
DS24,0.003856304,0.431195777
DS25,0.003278277,0.428225864
