ID,Site,Source,Temp,SPCOND,pH,ORP,AlkalinityW,NH3_f,H2S_f,NO3_f,DOC,TDN,TotalN,Cl,Fl,NO2,NO3,SO4,Li,Na_IC,K_IC,Mg_IC,Ca_IC,Mo,Cd,Sb,Pb,U,Al,Si,P,S,Ca,Cr,Mn,Fe,Co,Ni,Cu,Ti,Zn,B,Sr,K,As,Na,Mg,O18,D
Well 202,Soil,Soil,22.2,122.1,4,344.0,49.8,,,,2.50,0.17,0,1.9066,0.0788,2.8955,0.4747,1.1097,,6.6354,2.8509,1.9632,10.213,0.15,0.12,3.05,0.07,-0.01,72.61,26.64,8.71,585.05,8.57,0.15,5.55,30.64,0.04,0.46,45.74,1.88,197.73,225.81,104.53,1.87,0.37,7.34,3.11,-6.02,-27.1
Well 200,Soil,Soil,22.4,35,5.3,205.0,4.6,,,,1.48,0.00,0,2.1188,,1.3302,0.0294,0.5491,0.001,2.277,0.4472,0.3092,1.8345,-0.13,0.05,0.01,0.01,-0.04,1.47,5.59,0.57,207.30,1.49,0.02,16.70,0.74,0.01,0.26,0.30,0.01,92.15,52.39,17.02,0.34,0.01,2.01,0.51,-6.49,-26.9
Sp. Box,Spring,Spring,22.3,83.1,6.6,307.0,32.3,0.13,0.01,0.86,0.15,0.16,0.99,1.9226,0.0063,1.6569,0.5809,0.6696,0.0076,5.907,2.4412,1.0611,6.0151,-0.13,0.00,1.77,0.01,-0.05,-0.42,17.68,19.55,250.24,4.78,0.02,0.03,-0.21,0.00,0.02,0.03,0.01,15.08,44.51,73.00,2.23,0.05,4.90,1.67,-5.34,-25.5
Howler Weir,Downstream,Stream,22.2,110.8,7,315.0,44.5,,,0.01,0.87,0.10,,2.0262,0.0206,2.0665,0.2729,0.8957,,6.2279,2.8911,1.8277,9.0362,0.11,0.28,1.97,0.02,-0.02,7.37,28.00,13.47,401.16,8.43,0.01,0.89,2.78,0.01,0.03,0.23,0.09,18.59,45.26,104.71,2.79,0.31,6.08,3.16,-6.69,-28.1
Howler 2,Downstream,Stream,22.0,115.9,5.5,350.0,46.5,0.07,0.08,0.12,0.47,0.14,0.19,1.9715,0.0229,2.1473,0.3173,0.8891,,6.814,3.1311,1.885,9.36,0.03,0.00,2.07,0.01,0.00,7.15,26.53,15.06,365.61,7.93,0.01,0.19,0.80,0.00,0.02,0.30,0.06,43.30,37.78,99.93,2.55,0.30,5.29,2.80,-5.21,-25.3
HW Trib,Soil,Soil,22.6,71.9,7,261.0,27.5,,,0.03,1.69,1.31,,2.3764,0.0134,1.3719,0.0716,0.6523,,5.4554,1.9509,0.8981,4.6966,-0.11,0.01,0.01,0.02,-0.05,7.10,20.40,2.39,350.41,5.14,0.02,1.12,7.27,0.01,0.04,0.40,0.13,56.63,42.44,79.06,2.19,0.04,5.98,1.79,-5.55,-27.1
Well 203,Soil,Soil,23.0,84.9,5.7,354.0,28.5,0.92,0.37,0.11,6.17,0.00,1.03,1.5514,0.0062,1.76,0.11,2.5605,0.0009,3.8446,1.5218,1.3198,8.5819,-0.13,0.16,0.09,1.98,0.26,2899.36,15.37,8.31,1174.43,9.67,1.11,446.91,2593.57,5.75,3.08,59.86,6.53,94.67,171.86,108.26,1.12,0.12,5.24,2.60,-5.44,-25.1
Well 205,Soil,Soil,22.3,108.2,6.6,208.0,44.1,0.45,0.33,2.34,2.80,0.00,2.79,2.2126,0.0172,1.9673,0.2114,2.2021,0.0013,6.2936,2.4372,1.8073,10.5651,0.02,0.20,0.04,0.08,-0.02,89.62,23.08,1.83,932.52,7.97,0.04,109.82,87.81,0.13,0.25,0.54,3.20,73.71,105.20,99.21,2.14,0.17,4.71,2.50,-4.68,-26.2
DS1,Downstream,Stream,22.2,112.7,7.4,268.0,45.8,0.18,0.02,0.06,0.92,0.10,0.24,1.9525,0.012,1.9422,0.1257,0.7902,,7.2396,3.1357,2.0506,10.4645,,,,,,,,,,,,,,,,,,,,,,,,,-4.88,-22.9
US1,Upstream,Stream,22,113.4,6.1,307.0,41.4,0.53,0.19,0.12,0.41,0.10,0.65,1.919,0.0258,2.0233,0.2717,0.8123,,7.4718,2.7995,2.109,10.862,,,,,,,,,,,,,,,,,,,,,,,,,-4.85,-25.2
