sample,Sample.ID,Mo,Cd,Sb,Pb,U,Al,Si,P,S,Ca,Cr,Mn,Fe,Co,Ni,Cu,Ti,Zn,B,Sr,K,As,Na,Mg,Seconds
20,DS 10,,,,,,866.9125469,185.5995981,77.84140875,3114.619337,51.71237505,2.7605613,5.7137199,53.4136512,0.0641991,0.48149325,10.88174745,12.29412765,191.4738158,39679.95503,666.4829567,17.30165745,1.7975748,57.0729999,18.45724125,65580
21,DS 11,,,,,,4350.517369,251.3686612,91.97657275,6748.27783,64.96960125,13.8601816,52.7909858,1321.710994,0.66243515,2.3440013,20.5864462,49.6316797,1148.968289,154418.882,801.495575,23.1342737,2.49687095,122.3466766,20.94314205,72780
22,DS 12,,,,,,1124.009677,160.5406055,65.0390938,2930.253522,43.93238615,2.73344545,4.9596536,80.1434934,0.1127194,0.47905745,6.0868476,15.86525555,119.7361827,49102.68413,560.5253964,14.00538545,1.60625145,49.0892987,15.217119,81360
23,DS 13,0.64155834,5.91659358,14.9696946,0.17821065,0,65.61716133,183.3431167,82.86795225,2857.465204,56.52841818,0.14256852,4.49090838,57.09869226,0.10692639,0.3564213,2.63751762,1.0692639,128.6680893,542.2237237,712.1297574,18.28441269,2.1385278,39.17070087,19.46060298,87480
24,DS 14,0.03075891,9.56602101,5.10597906,0.06151782,-0.06151782,16.6098114,72.40647414,32.88127479,1038.574596,21.86958501,0.03075891,1.35339204,8.70477153,0.03075891,0.06151782,0.70745493,0.24607128,15.16414263,40.69403793,274.2464416,6.98227257,0.83049057,13.68771495,7.84352205,94980
25,DS 15,,,,,,3.74763776,75.03542368,30.09132672,1109.879456,18.79330112,0.79912864,0.60623552,4.62943488,0,0.11022464,1.5155888,0.88179712,66.05211552,12886.11466,238.9945757,6.08991136,0.77157248,19.12397504,6.83392768,101880
26,DS 16,0,0.1005784,3.9728468,0.0502892,-0.0754338,10.4852982,60.5230522,27.533337,880.186723,18.4309918,0.0251446,1.005784,6.2610054,0,0.0502892,0.8297718,0.1508676,69.4493852,134.146441,232.713273,5.9592702,0.6789042,12.8488906,6.6381744,109980
27,DS 17,0.57192717,2.85963585,0.09030429,0.63213003,-0.06020286,502.2122581,79.04635518,31.15498005,1011.197338,21.16130529,0.9030429,1.71578151,20.34856668,0.03010143,0.18060858,1.23415863,4.06369305,94.78940307,17154.14273,266.8792784,7.37485035,3.70247589,20.64958098,7.55545893,115980
28,DS 18,0.59303633,0.27907592,0.10465347,0.66280531,-0.06976898,544.7561958,87.83914582,36.69848348,1228.10847,23.86099116,1.11630368,1.95353144,20.930694,0.03488449,0.17442245,2.19772287,4.46521472,116.5141966,18135.22539,300.7043038,8.68623801,4.25590778,24.7679879,8.47693107,124380
29,DS 19,0.5072373,0.30997835,0.1127194,0.6199567,-0.0563597,448.3695934,72.73219285,28.15167015,981.8423337,19.4440965,0.87357535,2.0289492,16.0625145,0.02817985,0.1690791,1.71897085,3.4943014,90.1191603,15937.64958,245.2210547,6.7068043,3.35340215,18.85231965,6.763164,130380
30,DS 20,0.68594439,4.35776436,0.12104901,1.04909142,-0.08069934,776.7714972,107.0073248,42.85134954,1446.979516,28.44651735,1.37188878,2.4209802,31.51309227,0.24209802,0.32279736,2.58237888,6.33489819,151.2305632,25686.47887,354.5929,10.32951552,5.44720545,29.93945514,9.92601882,138840
31,DS 21,0.60505053,1.46940843,0.08643579,0.69148632,-0.02881193,531.9834755,76.58210994,31.28975598,1004.211008,20.25478679,1.00841755,1.90158738,16.76854326,0.02881193,0.11524772,1.38297264,4.29297757,108.8226596,19679.35492,257.2040991,7.37585408,4.23535371,22.70380084,7.08773478,145380
32,DS 22,0.51861474,3.31337195,0.08643579,0.54742667,-0.02881193,449.0339291,75.63131625,31.77955879,999.3129801,20.85983732,0.80673404,1.26772492,14.95339167,0.02881193,0.08643579,1.23891299,3.63030318,153.4523392,15355.37572,255.4177595,6.82842741,3.28456002,20.51409416,6.74199162,153780
33,DS 23,0.60702663,0.26015427,0.08671809,0.63593266,-0.02890603,506.6648938,77.84393879,33.93567922,1016.711793,20.75452954,0.98280502,1.41639547,16.44753107,0,0.11562412,1.35858341,3.98903214,105.1312311,16962.63652,262.6690946,6.59057484,3.35309948,19.6561004,6.27260851,161040
34,DS 24,0.73269776,1.46539552,0.11568912,0.84838688,-0.07712608,653.643528,99.80114752,44.96450464,1384.875892,28.03533008,1.1568912,2.15953024,31.19749936,0.03856304,0.15425216,1.81246288,5.16744736,160.6536246,21586.74141,342.5169213,10.0263904,4.82038,30.0791712,10.29633168,167580
35,DS 25,0.72122094,0.6556554,0.09834831,0.75400371,-0.06556554,645.3616102,85.8908574,40.91289696,1210.667696,24.19368426,1.34409357,1.6391385,23.43968055,0.03278277,0.13113108,1.70470404,5.04854658,280.4565974,20010.83229,300.7819148,8.09734419,4.39289118,25.60334337,8.8513479,173580
