Number,sample_identifier,oxygen,deuterium,Type,Location,High_Frequency,Event,Date,Time,Date_Time,Times
M1,Event1-p0,-4.74,-26.41,Precipitation,Rain,Y,1,7/5/18,14:40,7/5/18 14:40,5
M2,Event1-p5,-4.3,-23.83,Precipitation,Rain,Y,1,7/5/18,14:45,7/5/18 14:45,10
M3,Event1-p10,-3.69,-18.18,Precipitation,Rain,Y,1,7/5/18,15:59,7/5/18 15:59,84
M4,Event1-p15,-2.88,-15,Precipitation,Rain,Y,1,7/5/18,16:09,7/5/18 16:09,94
M5,Event1-p20,-3.42,-15.89,Precipitation,Rain,Y,1,7/5/18,16:14,7/5/18 16:14,99
M6,Event1-w0,-5.24,-27.41,Stream,Weir,Y,1,7/5/18,14:40,7/5/18 14:40,5
M7,Event1-w5,-5.03,-26.23,Stream,Weir,Y,1,7/5/18,14:45,7/5/18 14:45,10
M8,Event1-w10,-5.18,-26.98,Stream,Weir,Y,1,7/5/18,15:59,7/5/18 15:59,84
M9,Event1-w15,-5.09,-26.56,Stream,Weir,Y,1,7/5/18,16:09,7/5/18 16:09,94
M10,Event1-w20,-5.1,-26.38,Stream,Weir,Y,1,7/5/18,16:14,7/5/18 16:14,99
M11,Event1-sp5,-5.12,-27.3,Spring,Spring,Y,1,7/5/18,14:45,7/5/18 14:45,10
M12,Event1-sp10,-5.29,-27.18,Spring,Spring,Y,1,7/5/18,15:59,7/5/18 15:59,84
M13,Event1-sp15,-5.26,-27.16,Spring,Spring,Y,1,7/5/18,16:09,7/5/18 16:09,94
M14,Event1-sp20,-5.02,-25.38,Spring,Spring,Y,1,7/5/18,16:14,7/5/18 16:14,99
M15,Event2-sp1,-5.36,-27.73,Spring,Spring,Y,2,7/7/18,14:19,7/7/18 14:19,5
M16,Event2-sp2,-5.22,-27.36,Spring,Spring,Y,2,7/7/18,14:25,7/7/18 14:25,11
M17,Event2-sp3,-5.26,-26.88,Spring,Spring,Y,2,7/7/18,14:33,7/7/18 14:33,19
M18,Event2-sp4,-5.31,-27.01,Spring,Spring,Y,2,7/7/18,14:40,7/7/18 14:40,26
M19,Event2-sp5,-5.22,-26.95,Spring,Spring,Y,2,7/7/18,14:50,7/7/18 14:50,36
M20,Event2-sp6,-5.35,-27.32,Spring,Spring,Y,2,7/7/18,15:05,7/7/18 15:05,51
M21,Event2-w1,-4.68,-23.45,Stream,Weir,Y,2,7/7/18,14:19,7/7/18 14:19,5
M22,Event2-w2,-4.81,-23.45,Stream,Weir,Y,2,7/7/18,14:25,7/7/18 14:25,11
M23,Event2-w3,-4.74,-22.94,Stream,Weir,Y,2,7/7/18,14:33,7/7/18 14:33,19
M24,Event2-w4,-4.78,-22.77,Stream,Weir,Y,2,7/7/18,14:40,7/7/18 14:40,26
M25,Event2-w5,-4.58,-22,Stream,Weir,Y,2,7/7/18,14:50,7/7/18 14:50,36
M26,Event2-w6,-4.72,-22.88,Stream,Weir,Y,2,7/7/18,15:05,7/7/18 15:05,51
M27,Event2-p1,0.63,9.74,Precipitation,Rain,Y,2,7/7/18,14:19,7/7/18 14:19,5
M28,Event2-p2,0.92,11.22,Precipitation,Rain,Y,2,7/7/18,14:25,7/7/18 14:25,11
M29,Event2-p3,-0.06,7.03,Precipitation,Rain,Y,2,7/7/18,14:33,7/7/18 14:33,19
M30,Event2-p4,-0.31,5.18,Precipitation,Rain,Y,2,7/7/18,14:40,7/7/18 14:40,26
M31,Event2-p5,-0.33,5.74,Precipitation,Rain,Y,2,7/7/18,14:50,7/7/18 14:50,36
M32,Event2-p6,0.78,12.3,Precipitation,Rain,Y,2,7/7/18,15:05,7/7/18 15:05,51
M33,Event3-sp1,-5.04,-24.53,Spring,Spring,Y,3,7/8/18,15:09,7/8/18 15:09,5
M24,Event3-sp2,-4.74,-23.1,Spring,Spring,Y,3,7/8/18,15:21,7/8/18 15:21,17
M35,Event3-sp3,-5.05,-24.96,Spring,Spring,Y,3,7/8/18,15:32,7/8/18 15:32,28
M36,Event3-sp4,-5.07,-24.6,Spring,Spring,Y,3,7/8/18,15:58,7/8/18 15:58,54
M37,Event3-w1,-4.72,-23.14,Stream,Weir,Y,3,7/8/18,15:09,7/8/18 15:09,5
M38,Event3-w2,-4.58,-22.61,Stream,Weir,Y,3,7/8/18,15:21,7/8/18 15:21,17
M39,Event3-w3,-4.67,-22.6,Stream,Weir,Y,3,7/8/18,15:32,7/8/18 15:32,28
M40,Event3-w4,-4.72,-22.95,Stream,Weir,Y,3,7/8/18,15:58,7/8/18 15:58,54
M41,Event3-p1,-0.6,8.82,Precipitation,Rain,Y,3,7/8/18,15:09,7/8/18 15:09,5
M42,Event3-p2,-0.98,4.15,Precipitation,Rain,Y,3,7/8/18,15:21,7/8/18 15:21,17
M43,Event3-p3,0.53,11.61,Precipitation,Rain,Y,3,7/8/18,15:32,7/8/18 15:32,28
M44,Event4-p1,-0.15,-9.01,Precipitation,Rain,Y,4,7/11/18,15:19,7/11/18 15:19,11
M45,Event4-p2,-2.91,-21.43,Precipitation,Rain,Y,4,7/11/18,15:40,7/11/18 15:40,32
M46,Event4-p3,-3.74,-25.49,Precipitation,Rain,Y,4,7/11/18,15:50,7/11/18 15:50,42
M47,Event4-p4,-3.3,-23.74,Precipitation,Rain,Y,4,7/11/18,16:00,7/11/18 16:00,52
M48,Event4-p5,-3.41,-24.57,Precipitation,Rain,Y,4,7/11/18,16:10,7/11/18 16:10,62
M49,Event4-p6,-2.11,-18.95,Precipitation,Rain,Y,4,7/11/18,16:25,7/11/18 16:25,77
M50,Event4-sp1,-4.94,-27.01,Spring,Spring,Y,4,7/11/18,15:19,7/11/18 15:19,11
M51,Event4-sp2,-5.02,-27.43,Spring,Spring,Y,4,7/11/18,15:40,7/11/18 15:40,32
M52,Event4-sp3,-5.03,-27.35,Spring,Spring,Y,4,7/11/18,15:50,7/11/18 15:50,42
M53,Event4-sp4,-5.05,-27.11,Spring,Spring,Y,4,7/11/18,16:00,7/11/18 16:00,52
M54,Event4-sp5,-5.09,-27.09,Spring,Spring,Y,4,7/11/18,16:10,7/11/18 16:10,62
M55,Event4-sp6,-4.9,-26.46,Spring,Spring,Y,4,7/11/18,16:25,7/11/18 16:25,77
M56,Event4-W1,-4.9,-25.73,Stream,Weir,Y,4,7/11/18,15:19,7/11/18 15:19,11
M57,Event4-W2,-4.91,-25.91,Stream,Weir,Y,4,7/11/18,15:40,7/11/18 15:40,32
M58,Event4-W3,-4.97,-26.1,Stream,Weir,Y,4,7/11/18,15:50,7/11/18 15:50,42
M59,Event4-W4,-5.03,-26.38,Stream,Weir,Y,4,7/11/18,16:00,7/11/18 16:00,52
M60,Event4-W5,-5.08,-26.1,Stream,Weir,Y,4,7/11/18,16:10,7/11/18 16:10,62
M61,Event4-W6,-5.04,-25.93,Stream,Weir,Y,4,7/11/18,16:25,7/11/18 16:25,77
M62,Rainwater20180705-2,-3.65,-18.55,Precipitation,Rain,N,,7/6/18,8:30,7/6/18 8:30,
M63,Rainwater7/8/18,-1.09,1.63,Precipitation,Rain,N,,7/8/18,8:20,7/8/18 8:20,
M64,Rainfall7/9/18,-1.03,6.59,Precipitation,Rain,N,,7/9/18,9:00,7/9/18 9:00,
M65,Rainwater7/10/18,-1.42,2.16,Precipitation,Rain,N,,7/10/18,7:20,7/10/18 7:20,
M66,Rainwater7/11/18,-1.79,-0.98,Precipitation,Rain,N,,7/11/18,8:10,7/11/18 8:10,
M67,Rain20180711-0712,-4.14,-24.42,Precipitation,Rain,N,,7/12/18,8:00,7/12/18 8:00,
M68,Rain2018/07/13-14,-2.54,-7.67,Precipitation,Rain,N,,7/13/18,8:30,7/13/18 8:30,
M69,Rain20180713-14,-2.74,-11.05,Precipitation,Rain,N,,7/14/18,9:15,7/14/18 9:15,
M70,Weir20180707,-4.84,-24.57,Stream,Weir,N,,7/7/18,10:16,7/7/18 10:16,
M71,Weir20180708,-4.81,-25.22,Stream,Weir,N,,7/8/18,9:59,7/8/18 9:59,
