rain_m,rain_s
[0.05094894],0.1141275832990684
[1.6932158e-05],0.1505248167292611
[0.44876286],0.0654391146833819
[5.31472424e-05],0.15825021677841253
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.064249],0.14850249861166268
[0.06628008],0.15043808052527644
[2.95013565e-05],0.12846512239717675
[0.00021399],0.15581000336686623
[1.95729716e-05],0.1720244033721048
[6.22410307e-06],0.13721703330082913
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[9.83020887e-05],0.13845937654363433
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[3.00657797e-05],0.1389958788933482
[0.45082276],0.09059101596154864
[0.00019565],0.13882615553728353
