soil_m,soil_s
[0.40876935],0.11412758329906846
[0.46330437],0.15052481672926113
[0.02919516],0.0654391146833819
[0.51337907],0.1582502167784126
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.51397796],0.1485024986116626
[0.52998152],0.1504380805252765
[0.50677519],0.12846512239717678
[0.54989037],0.1558100033668663
[0.66416938],0.1720244033721048
[0.5434562],0.13721703330082907
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.53435154],0.13845937654363433
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.53669562],0.13899587889334813
[0.07867069],0.09059101596154866
[0.51442172],0.1388261555372835
