rain_m,rain_s
[0.1856571],0.02442498070726829
[5.7724282e-06],0.015187320403734281
[0.14512713],0.02462104470677504
[0.06884345],0.029327172821641545
[0.05078401],0.0305046589249161
[8.39417743e-06],0.019509866531225203
[0.12692972],0.03377191690472754
[0.14955944],0.027555445874738727
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.11879819],0.03845093515727293
[3.74497614e-06],0.014339317908871434
[0.0132689],0.023787192435521888
[0.14217182],0.029390389416257563
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.04528856],0.027427558507859256
[0.2382731],0.027481780820476524
[0.12333147],0.02868929974880399
