soil_m,soil_s
[0.30644549],0.02442498070726827
[0.50601635],0.015187320403734278
[0.34362806],0.024621044706775046
[0.48437017],0.029327172821641555
[0.56956317],0.03050465892491609
[0.63118029],0.019509866531225186
[0.51145473],0.033771916904727556
[0.3933623],0.027555445874738734
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.59538998],0.03845093515727293
[0.59550439],0.014339317908871448
[0.5846011],0.023787192435521895
[0.430315],0.02939038941625755
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.53587556],0.027427558507859315
[0.30936941],0.02748178082047654
[0.42788919],0.02868929974880398
