rain_m,rain_s
[0.14524376],0.07240017638069414
[0.20602075],0.08771878913964355
[0.4942898],0.02605343993988887
[0.28563203],0.09877434989505943
[0.25177007],0.10784376077366657
[0.11200837],0.0829422856906605
[0.19649586],0.10546326167102954
[0.16037261],0.07995560743325648
[2.02465701e-05],0.037792046773850736
[1.96587142e-05],0.06646451605134393
[6.41701895e-05],0.05447997855896236
[5.36838199e-05],0.05649002010466238
[0.04776695],0.06887718617704665
[0.09576694],0.0708147351361108
[0.09706086],0.07023778924125192
[0.28514524],0.0972376270554347
[0.22720019],0.09465075903656621
