soil_m,soil_s
[0.31705554],0.07240017638069411
[0.2573405],0.08771878913964355
[4.66244757e-05],0.026053439939888862
[0.22783186],0.09877434989505944
[0.32264379],0.10784376077366661
[0.47439398],0.08294228569066055
[0.40046388],0.10546326167102964
[0.34930676],0.07995560743325648
[0.58502835],0.037792046773850736
[0.69021735],0.06646451605134393
[0.56469987],0.05447997855896237
[0.57049136],0.0564900201046624
[0.49824705],0.06887718617704665
[0.4107011],0.07081473513611082
[0.45070406],0.0702377892412519
[0.22695709],0.09723762705543465
[0.28777998],0.09465075903656624
