rain_m,rain_s
[0.40850158],0.10694003175589908
[0.30332913],0.10920840931141118
[0.00013948],0.07404075978775605
[0.24938581],0.11211415365076469
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.51361424],0.13659938559159635
[0.46372505],0.1452372677597392
[0.45049659],0.11771130417326964
[0.55001596],0.11549126280943643
[0.5907954],0.14707344761137714
[0.42278469],0.1310190003390488
[0.42781376],0.13208456902862606
[0.41516595],0.12897992870280597
[0.38807218],0.12015549001689975
[0.47699075],0.1271355121971889
[0.45515599],0.12085405110053274
[0.40030407],0.12505292016925051
