soil_m,soil_s
[0.05113527],0.10694003175589908
[0.16093929],0.10920840931141115
[0.47240769],0.07404075978775607
[0.2711746],0.1121141536507647
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.06458611],0.13659938559159637
[0.13249276],0.1452372677597391
[0.05632041],0.11771130417326968
[4.45701009e-06],0.1154912628094365
[0.07356069],0.1470734476113772
[0.12072599],0.13101900033904892
[0.12220834],0.13208456902862603
[0.11919834],0.128979928702806
[0.11099005],0.12015549001689982
[0.05965807],0.12713551219718885
[0.05683803],0.12085405110053271
[0.11435353],0.12505292016925054
