rain_m,rain_s
[5.45944991e-05],0.11679851728610816
[0.00031547],0.15278098779487498
[0.47841201],0.0668072275485912
[6.25867419e-05],0.15957020128226337
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.06427052],0.14772658632148605
[0.06620199],0.15098909917365666
[3.20360193e-06],0.13005128931098697
[6.13749624e-06],0.15611070852526757
[0.00010584],0.1736609853468319
[4.48571561e-05],0.13902752313227168
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[1.407547e-05],0.13982878825745862
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.00024116],0.1404158113777182
[0.47671159],0.08913794371200227
[8.2851638e-07],0.1381079465207369
