soil_m,soil_s
[0.45968872],0.1167985172861081
[0.46315764],0.15278098779487498
[0.00024032],0.06680722754859121
[0.51338882],0.1595702012822633
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.5139008],0.14772658632148614
[0.53006165],0.1509890991736567
[0.50680638],0.13005128931098697
[0.54998778],0.15611070852526757
[0.66426754],0.17366098534683175
[0.54351166],0.13902752313227168
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.53444115],0.13982878825745862
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.53650118],0.1404158113777182
[0.04606408],0.08913794371200227
[0.51463912],0.13810794652073694
