soil_m,soil_s
[0.3143056],0.024233360990209698
[0.50427603],0.015319039165683473
[0.33890377],0.024412677174355055
[0.47569285],0.02903024653841315
[0.56220543],0.03045374544003392
[0.62902754],0.019628026016891696
[0.50050035],0.033302944165978926
[0.39070846],0.0273210502414926
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.60728787],0.037803931483280456
[0.59336064],0.014533413792810245
[0.58076204],0.023855272354006564
[0.42945466],0.02914082508306018
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.52882944],0.027421137604516723
[0.28659181],0.027309615874481028
[0.42361104],0.028381610665821254
