rain_m,rain_s
[0.09428007],0.07303629470373729
[0.20578077],0.08636309108868134
[0.48937826],0.026573101301464612
[0.28481396],0.09807071465886712
[0.25244586],0.1059675085422451
[0.09668267],0.08189491277503354
[0.19664257],0.10554585831534669
[0.15703454],0.08062534649502001
[0.00042466],0.03689113138375383
[1.85698893e-05],0.06368218413240216
[1.11275643e-05],0.05216624097001809
[8.50117801e-05],0.054356785455583374
[0.04065832],0.067848647817668
[0.08248231],0.06983386569260379
[0.0414359],0.06954045821924673
[0.28447025],0.09601670938414275
[0.2230048],0.09409783252334203
