rain_m,rain_s
[0.40849139],0.1072087303633807
[0.30795145],0.10752426737156136
[0.06601631],0.07058618099799045
[0.25692151],0.11233396630748617
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.51387029],0.13682165936243307
[0.4636885],0.14450552035283515
[0.45041088],0.11815864687640444
[0.54990157],0.11789915096146886
[0.59053177],0.15012196851640464
[0.42260881],0.13232985362197633
[0.42770469],0.13188890280383997
[0.41554112],0.12995627215084665
[0.38812913],0.1207693654747999
[0.47683204],0.1271495432458095
[0.45498556],0.1213119303349137
[0.39983416],0.12417895774625136
