soil_m,soil_s
[0.05113064],0.1072087303633807
[0.15552363],0.10752426737156133
[0.40806872],0.0705861809979905
[0.26218257],0.11233396630748614
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.06430246],0.13682165936243312
[0.13255751],0.14450552035283515
[0.05640377],0.11815864687640452
[8.39100663e-05],0.1178991509614689
[0.07371796],0.1501219685164046
[0.12084415],0.13232985362197627
[0.12231698],0.13188890280383997
[0.11877448],0.1299562721508467
[0.11079205],0.12076936547479986
[0.05982131],0.12714954324580946
[0.05695637],0.1213119303349136
[0.11487069],0.12417895774625134
