sample,Sample.ID,Mo,Cd,Sb,Pb,U,Al,Si,P,S,Ca,Cr,Mn,Fe,Co,Ni,Cu,Ti,Zn,B,Sr,K,As,Na,Mg,Seconds
3,US 09,0.31447808,20.83759104,5.66060544,0.09571072,0.0683648,5.64693248,79.05705472,42.63228928,1138.547379,23.5174912,0.12305664,0.83405056,9.5027072,0.0683648,0.19142144,0.53324544,0.2050944,99.42976512,107.5925222,300.4222771,7.64318464,0.94343424,14.80781568,8.17643008,57660
5,US 11,0.3768429,2.16056596,8.4161581,0.10049144,0.10049144,56.30032926,122.4488196,65.49529602,2189.331635,38.08625576,0.27635146,0.90442296,31.60455788,0.15073716,0.2512286,1.95958308,1.03003726,94.9644108,429.3496774,488.287907,13.4407301,1.5073716,25.29872002,13.01364148,70680
6,US 12,,,,,,2.62690218,76.3254297,33.0481242,1186.476081,19.27201968,0.8473878,0.07263324,2.56637448,0.01210554,0.13316094,0.79896564,0.65369916,31.474404,13469.64067,244.1566363,6.33119742,0.76264902,18.0977823,6.75489132,77700
7,US 13,,,,,,365.6883614,78.44121372,38.17980948,1220.292908,21.0745308,1.12483692,0.8403954,12.61886016,0.03878748,0.15514992,1.69371996,5.28802644,47.02335492,17330.94424,271.913164,6.89124228,0.8403954,20.2987812,7.35669204,85980
8,US 14,,,,,,190.4224784,31.0404479,15.12424375,469.5225227,8.1835908,0.4619769,0.2639868,5.44472775,0,0.0439978,0.8359582,2.7718614,17.8851057,9034.079273,104.9787508,2.7938603,0.3299835,9.899505,3.00284985,93180
9,US 15,0.00930142,29.41109004,1.6742556,0.03720568,-0.00930142,0.82782638,23.73722384,12.6034241,382.3720748,7.0225721,0.01860284,0.2790426,1.45102152,0.00930142,0.03720568,0.68830508,0.0465071,20.86308506,59.53838942,89.20991922,2.39046494,0.25113834,4.98556112,2.56719192,99480
10,US 16,,,,,,153.5152897,28.16753992,12.28210204,379.2840545,7.82187536,0.31858762,0.45041698,5.24021706,0,0.0549289,0.45041698,1.18646424,43.09721494,5164.162505,98.95990624,2.73545922,1.23040736,7.66807444,2.86728858,107280
11,US 17,0.25755532,0.09365648,0.03512118,0.2341412,0,189.654372,32.52221268,16.2728134,1003.236507,8.56956792,0.56193888,0.2926765,4.40185456,0,0.07024236,0.50340358,1.51021074,159.4267431,6574.649775,113.558482,2.23604846,1.4633825,11.67193882,3.13749208,115080
12,US 18,0.201146,0.630867,0.027429,0.201146,0,160.267647,25.911262,12.644769,322.144462,6.957823,0.310862,0.246861,3.712058,0.009143,0.045715,1.088017,1.270877,25.252966,5587.845023,87.114504,2.450324,1.170304,6.454958,2.459467,121980
13,US 19,0.23445198,0.4465752,0.03349314,0.20095884,0,175.191451,30.96999012,15.2393787,402.2191183,8.30629872,0.32376702,0.25678074,4.17547812,0,0.03349314,0.42424644,1.37321874,47.18066988,5979.87638,105.3582541,2.99205384,1.47369816,8.13883302,3.02554698,130380
14,US 20,0.3138262,0.56488716,0.04707393,0.3138262,0,255.6114399,44.78299874,22.09336448,560.9957151,12.0823087,0.45504799,0.34520882,6.32359793,0.01569131,0.06276524,0.61196109,2.10263554,19.23754606,8617.118256,153.8062206,4.22096239,1.85157458,10.85838652,4.25234501,137040
15,US 21,0.26926238,0.25755532,0.03512118,0.24584826,0,196.3742244,33.6577975,17.0337723,433.746573,9.1900421,0.39804004,0.22243414,4.37844044,0.01170706,0.04682824,0.4682824,1.53362486,69.51652228,7199.303375,115.4901469,3.23114856,1.68581664,9.40076918,3.1609062,144480
16,US 22,0.28250222,3.40286765,0.03852303,0.23113818,0,188.9811442,35.53107467,18.67082854,469.0178903,9.93894174,0.61636848,0.26966121,8.56495367,0.11556909,0.05136404,0.46227636,1.46387514,162.6955967,6737.433968,124.3651819,3.41570866,1.57944423,10.25996699,3.4670727,152280
17,US 23,0.2567543,0.1167065,0.03501195,0.2800956,0,194.8648431,33.62314265,17.44762175,432.6543368,8.8463527,0.3734608,0.6302151,7.235803,0.03501195,0.05835325,0.73525095,1.55219645,43.77660815,6279.381562,112.6567845,3.1977581,1.5638671,9.2198135,2.97601575,158820
18,US 24,0.38244906,0.29930796,0.04988466,0.36582084,0,284.043254,45.54469458,22.73077674,582.2371233,12.1386006,0.5819877,0.59861592,6.08592852,0,0.04988466,0.81478278,2.19492504,61.99000416,10006.79628,153.2955602,4.4896194,2.17829682,13.16955024,4.53950406,164880
19,US 25,0.29480703,0.21057645,0.04211529,0.26673017,0,252.200395,37.903761,20.32764664,508.9211644,10.57093779,0.51942191,0.39307604,5.78383316,0,0.04211529,0.58961406,1.95134177,90.44960449,8323.708031,133.9968144,3.83249139,1.88114962,11.06228284,3.9307604,172080
