Label,NH3,H2S,NO3,O2,DOC,TDN,TotalN,Chloride,Fluoride,NO2,Nitrate,Sulfate,Lithium,Sodium,Potassium,Magnesium,Calcium
US1,0.53,0.19,0.12,7.62,0.4075684,0.10490061,0.65,1.919,0.0258,2.0233,0.2717,0.8123,0,7.4718,2.7995,2.109,10.862
US2,0.37,0.02,0.48,8.15,0.5038444,0.10227182,0.85,1.9487,0.0364,2.0311,0.0778,0.8304,0,7.632,3.4369,2.1078,10.7794
US3,0,0,0.24,8.17,1.9060234,0.10644618,0,1.9347,0.0042,2.1038,0.299,0.8368,0,6.4086,3.2721,1.923,9.6787
US4,0.48,0.25,1.29,7.34,0.3115054,0.1067368,1.77,1.9869,0.0183,2.1697,0.2719,0.8263,0,6.4747,3.1192,1.9096,9.6881
US5,1.06,0.38,0.42,8.01,0.6972484,0.09124147,1.48,2.0249,0.0049,2.3314,0.3597,1.0827,0.0026,8.6035,2.3841,1.9258,9.9208
US6,0.09,0.12,0.1,6.98,2.0962324,0.10877114,0.19,2.0286,0.0065,2.3232,0.3448,1.1622,0.0028,9.5082,3.0526,2.0039,10.5015
US7,0.31,0,1.35,6.76,0.2652844,0.10841447,1.66,3.0484,0.0119,2.2883,0.3666,0.9673,0.0022,10.4269,1.9718,1.9185,9.8484
US8,0,0.2,0.05,8.165,1.7888734,0.1775424,0,1.9913,0.0045,2.2944,0.3431,0.9692,0.0015,8.3979,2.7668,2.015,10.1638
US9,0.08,0.07,0.08,0,0.6244024,0.10120181,0.16,2.076,0.015,2.2469,0.2763,1.044,0.0017,9.5217,2.7803,2.0456,10.2941
US11,0.07,0.03,0.07,0,1.9428724,0.1771461,0.14,2.2664,0.0238,1.9248,0.3376,0.9284,0.0023,9.4191,3.1465,1.7849,9.1115
US12,0.03,0.04,0.32,0,1.6487194,0.08557438,0.35,2.0837,0.0052,2.252,0.2953,1.0886,0,7.0614,3.1368,2.0773,10.4623
US13,0.07,0.02,0.47,0,0.6129004,0.11952408,0.54,2.0599,0.0271,2.3841,0.2827,1.3065,0.003,9.6086,3.3174,2.1229,10.5755
US14,0.07,0.03,0.09,0,0.6207814,0.1792597,0.16,2.0054,0.0115,2.1489,0.3536,1.0108,0.0043,10.5043,3.2045,2.1377,10.5961
US15,0.05,0.01,1.45,0,0.6146044,0.11474206,1.5,2.1069,0.0138,2.2173,0.3045,1.0925,0.0016,9.959,3.2462,2.153,10.6824
US16,0.44,0.21,0.37,0,0.7074724,0.07651232,0.81,2.0207,0.0376,1.9686,0.3078,0.8535,0.0012,8.0565,2.684,1.9961,10.0657
US17,1.41,0.42,0.49,0,0.2968084,0.09774079,1.9,1.9655,0.0084,2.0935,0.2585,0.8619,0.0015,9.1939,3.4291,2.1364,10.7815
US18,0.04,0.06,0.24,0,13.6855624,0.09778042,0.28,1.9447,0.0033,1.9217,0.2445,0.8053,0.0013,8.7801,2.6783,2.0779,10.685
US19,0.01,0.01,0.05,0,0.6060844,0.09265494,0.06,1.9553,0.0169,1.9704,0.3619,0.8322,0.0012,9.1117,2.5424,2.0755,10.485
US20,0.04,0,0,0,13.6301824,0.1661818,0.04,1.9634,0.0052,2.0992,0.2365,0.9128,0.0012,10.331,2.733,2.1189,10.7612
US21,0,0.05,0,0,0.6795694,0.09944488,0,3.8401,0.012,2.0396,0.4076,0.898,0.0008,12.315,2.1524,2.0743,10.4979
US22,0.03,0,0.05,0,0.6090664,0.0929984,0.08,1.9351,0.0094,2.0565,0.2847,0.8303,0.0012,8.9733,2.9164,2.124,10.8692
US23,0.15,0,0.05,0,0.6846814,0.12283979,0.2,1.9839,0.0287,2.0285,0.3688,0.8667,0.0011,9.4699,3.0689,2.1577,10.9792
US24,0.1,0.05,0.05,0,0.6263194,0.11566676,0.15,1.9842,0.0733,2.0363,0.3475,0.8713,0.0009,9.3371,3.0923,2.1363,10.8724
US25,0.09,0.02,0.05,0,0.6405904,0.0867897,0.14,1.9571,0.0082,1.8773,0.3382,0.7278,0.001,9.3336,3.1734,2.1641,10.8318
Well 202,,,,,2.5,0.17,0,1.9066,0.0788,2.8955,0.4747,1.1097,0,6.6354,2.8509,1.9632,10.213
Well 200,,,,,1.48,0,0,2.1188,0,1.3302,0.0294,0.5491,0.001,2.277,0.4472,0.3092,1.8345
Sp. Box,0.13,0.01,0.86,7.61,0.15,0.16,0.99,1.9226,0.0063,1.6569,0.5809,0.6696,0.0076,5.907,2.4412,1.0611,6.0151
Howler Weir,BDL,BDL,0.01,7.65,0.87,0.1,,2.0262,0.0206,2.0665,0.2729,0.8957,0,6.2279,2.8911,1.8277,9.0362
Howler 2,0.07,0.08,0.12,7.9,0.47,0.14,0.19,1.9715,0.0229,2.1473,0.3173,0.8891,0,6.814,3.1311,1.885,9.36
HW Trib,BDL,BDL,0.03,6.03,1.69,1.31,,2.3764,0.0134,1.3719,0.0716,0.6523,0,5.4554,1.9509,0.8981,4.6966
Well 203,0.92,0.37,0.11,7.84,6.17,0,1.03,1.5514,0.0062,1.76,0.11,2.5605,0.0009,3.8446,1.5218,1.3198,8.5819
TR,0.24,0.03,0.13,7.66,4.79,0,0.37,1.9582,0.0016,1.675,0.1243,0.7158,0,5.1114,1.9215,1.6219,7.5761
